Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27029,Clearwater,65 to 74, 182 , 209 , 230 , 227 ,,,,,,,,,
27029,Clearwater,75+, 33 , 39 , 46 , 53 ,,,,,,,,,
27031,Cook,16 to 19, 136 , 144 , 141 , 129 ,,,,,,,,,
27031,Cook,20 to 24, 207 , 261 , 279 , 276 ,,,,,,,,,
27031,Cook,25 to 29, 208 , 182 , 236 , 255 ,,,,,,,,,
27031,Cook,30 to 34, 244 , 218 , 191 , 252 ,,,,,,,,,
27031,Cook,35 to 44, 506 , 522 , 522 , 472 ,,,,,,,,,
27031,Cook,45 to 54, 613 , 505 , 468 , 489 ,,,,,,,,,
27031,Cook,55 to 59, 380 , 311 , 241 , 213 ,,,,,,,,,
27031,Cook,60 to 64, 274 , 264 , 216 , 169 ,,,,,,,,,
27031,Cook,65 to 74, 242 , 295 , 306 , 276 ,,,,,,,,,
27031,Cook,75+, 50 , 69 , 95 , 121 ,,,,,,,,,
27033,Cottonwood,16 to 19, 293 , 315 , 290 , 285 ,,,,,,,,,
27033,Cottonwood,20 to 24, 542 , 652 , 691 , 636 ,,,,,,,,,
27033,Cottonwood,25 to 29, 448 , 476 , 577 , 614 ,,,,,,,,,
27033,Cottonwood,30 to 34, 478 , 437 , 461 , 561 ,,,,,,,,,
27033,Cottonwood,35 to 44," 1,009 ", 974 , 901 , 881 ,,,,,,,,,
27033,Cottonwood,45 to 54," 1,195 "," 1,021 ", 924 , 884 ,,,,,,,,,
27033,Cottonwood,55 to 59, 697 , 595 , 510 , 427 ,,,,,,,,,
27033,Cottonwood,60 to 64, 512 , 531 , 451 , 385 ,,,,,,,,,
27033,Cottonwood,65 to 74, 431 , 484 , 506 , 473 ,,,,,,,,,
27033,Cottonwood,75+, 86 , 86 , 94 , 103 ,,,,,,,,,
27035,Crow Wing,16 to 19," 1,757 "," 2,129 "," 2,149 "," 1,970 ",,,,,,,,,
27035,Crow Wing,20 to 24," 3,023 "," 3,729 "," 4,403 "," 4,449 ",,,,,,,,,
27035,Crow Wing,25 to 29," 2,767 "," 2,606 "," 3,332 "," 4,027 ",,,,,,,,,
27035,Crow Wing,30 to 34," 3,219 "," 2,778 "," 2,612 "," 3,363 ",,,,,,,,,
27035,Crow Wing,35 to 44," 5,880 "," 6,069 "," 5,774 "," 5,160 ",,,,,,,,,
27035,Crow Wing,45 to 54," 6,869 "," 5,729 "," 5,478 "," 5,664 ",,,,,,,,,
27035,Crow Wing,55 to 59," 3,537 "," 3,416 "," 2,649 "," 2,385 ",,,,,,,,,
27035,Crow Wing,60 to 64," 2,399 "," 2,458 "," 2,376 "," 1,844 ",,,,,,,,,
27035,Crow Wing,65 to 74," 1,387 "," 1,576 "," 1,668 "," 1,662 ",,,,,,,,,
27035,Crow Wing,75+, 318 , 399 , 497 , 584 ,,,,,,,,,
27037,Dakota,16 to 19," 11,574 "," 13,110 "," 13,078 "," 12,672 ",,,,,,,,,
27037,Dakota,20 to 24," 21,845 "," 25,553 "," 29,113 "," 28,922 ",,,,,,,,,
27037,Dakota,25 to 29," 23,316 "," 22,167 "," 26,171 "," 29,765 ",,,,,,,,,
27037,Dakota,30 to 34," 26,091 "," 23,810 "," 22,757 "," 26,783 ",,,,,,,,,
27037,Dakota,35 to 44," 49,723 "," 51,308 "," 50,605 "," 47,108 ",,,,,,,,,
27037,Dakota,45 to 54," 55,481 "," 51,640 "," 51,327 "," 53,058 ",,,,,,,,,
27037,Dakota,55 to 59," 25,658 "," 28,098 "," 25,418 "," 24,572 ",,,,,,,,,
27037,Dakota,60 to 64," 15,298 "," 17,880 "," 19,696 "," 17,744 ",,,,,,,,,
27037,Dakota,65 to 74," 9,106 "," 11,572 "," 13,903 "," 15,707 ",,,,,,,,,
27037,Dakota,75+," 1,180 "," 1,321 "," 1,503 "," 1,809 ",,,,,,,,,
27039,Dodge,16 to 19, 596 , 685 , 610 , 491 ,,,,,,,,,
27039,Dodge,20 to 24," 1,091 "," 1,583 "," 1,777 "," 1,580 ",,,,,,,,,
27039,Dodge,25 to 29, 924 , 871 ," 1,348 "," 1,525 ",,,,,,,,,
27039,Dodge,30 to 34," 1,127 ", 928 , 868 ," 1,339 ",,,,,,,,,
27039,Dodge,35 to 44," 2,551 "," 2,346 "," 2,008 "," 1,731 ",,,,,,,,,
27039,Dodge,45 to 54," 2,571 "," 2,391 "," 2,261 "," 2,036 ",,,,,,,,,
27039,Dodge,55 to 59," 1,238 "," 1,266 "," 1,127 "," 1,067 ",,,,,,,,,
27039,Dodge,60 to 64, 881 ," 1,011 "," 1,028 ", 903 ,,,,,,,,,
27039,Dodge,65 to 74, 422 , 555 , 684 , 726 ,,,,,,,,,
27039,Dodge,75+, 88 , 101 , 119 , 151 ,,,,,,,,,
27041,Douglas,16 to 19," 1,102 "," 1,213 "," 1,194 "," 1,072 ",,,,,,,,,
27041,Douglas,20 to 24," 1,865 "," 1,868 "," 2,048 "," 2,018 ",,,,,,,,,
27041,Douglas,25 to 29," 1,936 "," 2,010 "," 2,004 "," 2,199 ",,,,,,,,,
27041,Douglas,30 to 34," 2,011 "," 1,966 "," 2,032 "," 2,029 ",,,,,,,,,
27041,Douglas,35 to 44," 3,577 "," 3,841 "," 3,959 "," 3,972 ",,,,,,,,,
27041,Douglas,45 to 54," 4,075 "," 3,625 "," 3,635 "," 3,891 ",,,,,,,,,
